distance,Right_lat_irreg,right vert irreg,left lat irreg,left vert irreg
74.73334,-0.003965279,-0.002954153,0.000300494,0.00323847
74.91369,-0.003943564,-0.002495506,0.000296326,0.00334819
75.09409,-0.003882915,-0.0020184,0.000292096,0.003401355
75.27454,-0.003770956,-0.001544327,0.000302602,0.003399836
75.45502,-0.00359986,-0.001091509,0.000338585,0.003347314
75.63552,-0.003367572,-0.000673839,0.000405667,0.003249699
75.81606,-0.003072381,-0.000305216,0.000509255,0.00311318
75.99661,-0.002716177,3.06E-06,0.000651051,0.002943196
76.17717,-0.002311688,0.000248282,0.00082158,0.002742693
76.35773,-0.001873934,0.000429372,0.001009102,0.002514218
76.53828,-0.001418471,0.000545909,0.001201147,0.002260295
76.71881,-0.000962656,0.00060277,0.001381385,0.001982758
76.89933,-0.000524869,0.000607522,0.001531456,0.001683147
77.07983,-0.00012364,0.000567942,0.00163285,0.001363174
77.26031,0.000228581,0.000492507,0.00167286,0.00102823
77.44077,0.000526483,0.000390479,0.001645338,0.000687759
77.62122,0.000765075,0.00027134,0.001544404,0.000351597
77.80166,0.000943073,0.000143768,0.001369319,3.16E-05
77.9821,0.001069622,1.39E-05,0.001133014,-0.000255174
78.16254,0.00115586,-0.000112592,0.000850886,-0.000490774
78.34299,0.001213431,-0.000230333,0.000539417,-0.000657538
78.52344,0.001256163,-0.000338324,0.000220939,-0.000742552
78.7039,0.001299035,-0.000437469,-7.94E-05,-0.000734802
78.88436,0.001357161,-0.0005288,-0.00033631,-0.000623565
79.06485,0.001441639,-0.000615983,-0.000529684,-0.000408829
79.24535,0.00155917,-0.000705529,-0.000644891,-0.000101795
79.42588,0.001716342,-0.000804216,-0.000667287,0.00028557
79.60642,0.001917183,-0.000918731,-0.000587723,0.000736461
79.78698,0.002158918,-0.001055328,-0.000411183,0.001222192
79.96756,0.002437622,-0.001220287,-0.000144962,0.001711674
80.14816,0.002748851,-0.00141917,0.000202084,0.002173916
80.32874,0.003085264,-0.001652082,0.000611905,0.002582329
80.50933,0.003438234,-0.001916839,0.001062457,0.002911869
80.68991,0.003798987,-0.002210995,0.001531298,0.003137681
80.87048,0.004158819,-0.002527487,0.001997343,0.003248972
81.05103,0.004509166,-0.002854667,0.002441072,0.003248886
81.23157,0.00484133,-0.003180498,0.002842735,0.003141267
81.41208,0.005146865,-0.003492736,0.003186567,0.002936717
81.59256,0.005418113,-0.003778948,0.003466575,0.002661045
81.77301,0.005647439,-0.004026511,0.003678111,0.002342529
81.95344,0.005827283,-0.004223767,0.003818004,0.002009238
82.13386,0.005951068,-0.004365929,0.003891977,0.001685862
82.31427,0.006012522,-0.004450803,0.003909106,0.001396084
82.49467,0.006005364,-0.004476456,0.0038787,0.001163143
82.67509,0.00592472,-0.004446342,0.003811653,0.000996373
82.85552,0.005767021,-0.004368946,0.003720323,0.000892707
83.03598,0.005528708,-0.004253086,0.003617312,0.000848557
83.21646,0.005207276,-0.004107447,0.003513529,0.000854496
83.39697,0.004802587,-0.003940221,0.003416088,0.000888702
83.57751,0.004314836,-0.003759665,0.003331722,0.000927405
83.75807,0.003744736,-0.003572856,0.003266393,0.000947565
83.93864,0.003095692,-0.003379466,0.003221203,0.000932143
84.11924,0.002372085,-0.003176498,0.00319555,0.000866034
84.29984,0.00157859,-0.002960664,0.003188752,0.000734742
84.48044,0.000723242,-0.002724346,0.00319906,0.000537789
84.66102,-0.000183144,-0.002456138,0.003223804,0.0002866
84.84159,-0.001129559,-0.002144339,0.003260254,-6.81E-06
85.02218,-0.002102212,-0.001778574,0.003306529,-0.000325936
85.2028,-0.003081768,-0.001351344,0.003362504,-0.000645533
85.3837,-0.004049288,-0.000854644,0.003428183,-0.000938776
85.5645,-0.004981392,-0.000283896,0.003503828,-0.00118106
85.74521,-0.005854015,0.000357614,0.003590294,-0.001356512
85.92584,-0.006641876,0.001063699,0.0036886,-0.00145184
86.10645,-0.007320003,0.001828035,0.003799548,-0.001454388
86.28709,-0.007868537,0.002639174,0.003920678,-0.001364463
86.46774,-0.008271606,0.003481528,0.004046825,-0.001192978
86.6484,-0.008513362,0.004339173,0.004172652,-0.000951337
86.82906,-0.008585953,0.005196061,0.004289928,-0.000653486
87.00964,-0.008496257,0.006035919,0.004384866,-0.000318136
87.19017,-0.008252908,0.006842679,0.004442791,3.51E-05
87.37067,-0.007867536,0.007600846,0.004448864,0.0003881
87.55116,-0.00736536,0.008297731,0.004388493,0.000731888
87.73167,-0.006775797,0.008921294,0.004247041,0.00106035
87.91221,-0.006128514,0.009459452,0.004010329,0.00136775
88.09277,-0.005451527,0.009901927,0.003673003,0.001654965
88.27335,-0.004771745,0.01023974,0.003236427,0.001927973
88.45396,-0.004116308,0.01046384,0.00270225,0.002192923
88.63456,-0.003503384,0.01056713,0.002079222,0.002452491
88.81517,-0.002935737,0.01054586,0.001388652,0.002703131
88.99579,-0.002414663,0.01039655,0.00065335,0.002940636
89.17642,-0.001937726,0.01011771,-0.000103146,0.003157541
89.35705,-0.00148681,0.009716217,-0.000854544,0.003332084
89.53767,-0.001039457,0.009201265,-0.001573415,0.003438292
89.71828,-0.000573164,0.008582887,-0.002232934,0.003449928
89.89885,-6.76E-05,0.007879362,-0.002818047,0.003341496
90.07938,0.000496442,0.007114338,-0.003321672,0.003087914
90.25987,0.001137904,0.006311847,-0.003736987,0.002664089
90.44031,0.001865377,0.005497257,-0.004066998,0.002059299
90.62067,0.002671355,0.004697768,-0.004330103,0.00128477
90.80096,0.003546908,0.003940928,-0.00454623,0.000353684
90.9812,0.004478903,0.003252072,-0.004735761,-0.000712469
91.16138,0.005438005,0.002647758,-0.004920405,-0.001863039
91.34151,0.00639071,0.002142587,-0.005122325,-0.003040637
91.52159,0.007303357,0.001750207,-0.005362159,-0.004187561
91.70164,0.008143537,0.001472831,-0.005644073,-0.00524589
91.88166,0.008879408,0.001305651,-0.005962696,-0.006157538
92.06168,0.009479105,0.001243611,-0.00631229,-0.006864658
92.24174,0.009919598,0.001277098,-0.006676804,-0.007330617
92.42187,0.01019099,0.001389706,-0.007025585,-0.007547445
92.60204,0.01028434,0.00156428,-0.007326615,-0.007509171
92.78226,0.01019469,0.001783298,-0.007549758,-0.007221324
92.96253,0.009932088,0.002028469,-0.007671694,-0.00673007
93.14286,0.009510252,0.002281155,-0.00767028,-0.006091148
93.32324,0.008943485,0.002522706,-0.007525756,-0.005361696
93.50368,0.008250514,0.002736408,-0.007244558,-0.004605888
93.68417,0.00745281,0.002906662,-0.006848337,-0.003892471
93.86472,0.006572115,0.003017766,-0.006359577,-0.003290753
94.04532,0.00562946,0.003056029,-0.005814115,-0.002849751
94.22598,0.00464465,0.003010712,-0.005265194,-0.002589946
94.40668,0.003637578,0.002871206,-0.004767777,-0.002529928
94.58743,0.002627976,0.002629252,-0.004372735,-0.00267504
94.76821,0.001634174,0.002284981,-0.004115448,-0.002987141
94.94902,0.000674288,0.001840368,-0.0040281,-0.00341903
95.12985,-0.000233637,0.00129869,-0.004138438,-0.003922108
95.31068,-0.001073819,0.00067487,-0.004434898,-0.004438226
95.4915,-0.001831887,-9.83E-06,-0.004885607,-0.004904322
95.67234,-0.002493536,-0.000733844,-0.005457789,-0.005257739
95.85315,-0.003049863,-0.001471484,-0.006100577,-0.005455409
96.0339,-0.003499186,-0.002192259,-0.006740744,-0.00547792
96.21477,-0.003840712,-0.002865968,-0.007303066,-0.005307444
96.39542,-0.004076658,-0.003464298,-0.007718612,-0.004938205
96.57596,-0.004222258,-0.003972774,-0.007934349,-0.004401485
96.75642,-0.004294851,-0.004378834,-0.007898899,-0.003736401
96.9369,-0.004312243,-0.004672537,-0.007565395,-0.002983967
97.11744,-0.004295817,-0.00486592,-0.006931961,-0.00219529
97.29807,-0.004268851,-0.004981848,-0.006020697,-0.001427068
97.47871,-0.004254633,-0.005043717,-0.004854217,-0.00073575
97.6594,-0.004269654,-0.005082733,-0.003479082,-0.000163712
97.84016,-0.004322536,-0.005139021,-0.001971918,0.000265445
98.021,-0.004421538,-0.005253544,-0.000412052,0.000529129
98.20189,-0.004569708,-0.005460988,0.001122573,0.000614666
98.3828,-0.004755705,-0.00577815,0.002561788,0.000541251
98.56372,-0.004965656,-0.006218858,0.003836857,0.000334528
98.74463,-0.005185197,-0.006792275,0.004882934,2.17E-05
98.92539,-0.005397301,-0.007474298,0.005674614,-0.00035905
99.10599,-0.005583954,-0.008226676,0.006206058,-0.00076393
99.28619,-0.005727362,-0.009009652,0.006472909,-0.001150161
99.46574,-0.005818723,-0.00977297,0.006492661,-0.001481196
99.64544,-0.005858541,-0.01046028,0.006313912,-0.001729605
99.82537,-0.005846967,-0.01101078,0.00598801,-0.001870821
100.0053,-0.005788753,-0.01137144,0.00556597,-0.001887318
100.1852,-0.005700404,-0.01151271,0.00510044,-0.001780319
100.365,-0.005600321,-0.01140911,0.004644743,-0.001553785
